Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
12,C164,49,45,9,Q2 2023,Below Target,12,C164,ACT,7927,20,1900
18,C772,49,56,3,Q2 2023,On Target,18,C772,ACT,13319,29,2500
45,C442,49,38,10,Q2 2023,Below Target,45,C442,ACT,9026,19,1700
146,C217,49,45,7,Q2 2023,Below Target,146,C217,ACT,8363,16,1900
233,C435,49,55,12,Q1 2023,Below Target,233,C435,ACT,37203,34,2500
274,C233,49,59,10,Q2 2023,On Target,274,C233,ACT,13449,34,2700
318,C512,49,43,9,Q1 2023,Below Target,318,C512,ACT,8112,24,1700
467,C111,49,34,16,Q2 2023,Below Target,467,C111,ACT,8667,15,1700
512,C215,49,27,7,Q2 2023,Below Target,512,C215,ACT,9630,15,1700
574,C744,49,38,5,Q1 2023,Below Target,574,C744,ACT,9714,22,1700
593,C787,49,53,15,Q1 2023,Below Target,593,C787,ACT,7167,17,1900
613,C379,49,59,16,Q1 2023,Below Target,613,C379,ACT,48911,26,2700
676,C638,49,26,11,Q2 2023,Below Target,676,C638,ACT,7524,21,1700
