Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
1,C524,39,56,6,Q2 2023,On Target,1,C524,QLD,18445,36,2500
2,C624,22,55,7,Q1 2023,On Target,2,C624,NSW,40535,37,2500
3,C460,36,51,7,Q1 2023,On Target,3,C460,VIC,6146,19,1900
4,C708,48,50,10,Q1 2023,Below Target,4,C708,SA,9151,23,1900
5,C647,23,39,18,Q2 2023,Below Target,5,C647,NSW,9308,23,1700
6,C713,38,84,15,Q2 2023,On Target,6,C713,QLD,58430,27,2500
7,C308,31,55,10,Q1 2023,On Target,7,C308,VIC,38603,31,2500
8,C494,38,44,8,Q1 2023,Below Target,8,C494,QLD,9545,19,1700
9,C656,30,39,10,Q2 2023,Below Target,9,C656,VIC,9357,17,1700
10,C280,44,26,15,Q1 2023,Below Target,10,C280,WA,8389,22,1700
11,C738,34,29,13,Q1 2023,Below Target,11,C738,VIC,8953,18,1700
12,C164,49,45,9,Q2 2023,Below Target,12,C164,ACT,7927,20,1900
13,C631,37,49,13,Q2 2023,Below Target,13,C631,QLD,9755,26,1900
14,C721,21,89,9,Q2 2023,On Target,14,C721,NSW,59732,37,2500
15,C535,49,30,10,Q2 2023,Below Target,15,C535,TAS,8535,16,1700
16,C621,37,56,9,Q2 2023,On Target,16,C621,QLD,44664,30,2500
17,C454,50,39,13,Q1 2023,Below Target,17,C454,NT,8255,16,1700
18,C772,49,56,3,Q2 2023,On Target,18,C772,ACT,13319,29,2500
19,C406,44,29,16,Q1 2023,Below Target,19,C406,WA,6941,17,1700
20,C196,44,42,6,Q1 2023,Below Target,20,C196,WA,9539,16,1700
21,C574,50,34,12,Q2 2023,Below Target,21,C574,TAS,8342,20,1700
22,C672,48,44,9,Q2 2023,Below Target,22,C672,SA,9850,26,1700
24,C450,27,53,11,Q1 2023,On Target,24,C450,NSW,7566,16,1900
25,C699,33,49,12,Q1 2023,On Target,25,C699,VIC,7221,26,1900
26,C760,24,36,12,Q2 2023,On Target,26,C760,NSW,9149,19,1700
27,C174,22,34,10,Q2 2023,On Target,27,C174,NSW,7358,20,1700
28,C344,36,43,5,Q1 2023,On Target,28,C344,VIC,9657,23,1700
29,C382,24,53,11,Q1 2023,On Target,29,C382,NSW,7431,18,1900
30,C419,25,42,13,Q2 2023,On Target,30,C419,NSW,7250,15,1700
32,C640,42,55,5,Q1 2023,On Target,32,C640,QLD,50859,25,2500
33,C317,43,31,8,Q2 2023,Below Target,33,C317,QLD,9122,26,1700
35,C336,41,47,7,Q2 2023,Below Target,35,C336,QLD,9741,25,1900
36,C309,40,29,5,Q2 2023,Below Target,36,C309,QLD,6948,25,1700
37,C163,30,59,9,Q2 2023,On Target,37,C163,VIC,25397,33,2700
38,C461,29,50,20,Q1 2023,On Target,38,C461,VIC,9534,16,1900
39,C628,34,38,6,Q1 2023,Below Target,39,C628,VIC,9912,24,1700
40,C759,38,32,10,Q1 2023,Below Target,40,C759,QLD,7869,16,1700
