Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
2,C624,22,55,7,Q1 2023,On Target,2,C624,NSW,40535,37,2500
5,C647,23,39,18,Q2 2023,Below Target,5,C647,NSW,9308,23,1700
14,C721,21,89,9,Q2 2023,On Target,14,C721,NSW,59732,37,2500
24,C450,27,53,11,Q1 2023,On Target,24,C450,NSW,7566,16,1900
26,C760,24,36,12,Q2 2023,On Target,26,C760,NSW,9149,19,1700
27,C174,22,34,10,Q2 2023,On Target,27,C174,NSW,7358,20,1700
29,C382,24,53,11,Q1 2023,On Target,29,C382,NSW,7431,18,1900
30,C419,25,42,13,Q2 2023,On Target,30,C419,NSW,7250,15,1700
41,C463,24,30,10,Q1 2023,Below Target,41,C463,NSW,9097,19,1700
43,C245,28,50,7,Q1 2023,On Target,43,C245,NSW,8363,20,1900
46,C776,28,25,8,Q1 2023,Below Target,46,C776,NSW,9015,26,1700
48,C373,26,53,11,Q1 2023,On Target,48,C373,NSW,8105,22,1900
50,C696,23,35,12,Q2 2023,On Target,50,C696,NSW,7735,26,1700
53,C425,25,41,9,Q2 2023,On Target,53,C425,NSW,8194,16,1700
58,C348,27,40,13,Q1 2023,On Target,58,C348,NSW,8839,17,1700
59,C694,28,39,9,Q1 2023,On Target,59,C694,NSW,6624,23,1700
67,C366,26,59,11,Q1 2023,On Target,67,C366,NSW,28776,28,2700
68,C682,24,48,11,Q1 2023,On Target,68,C682,NSW,8926,15,1900
71,C484,22,42,8,Q2 2023,On Target,71,C484,NSW,6334,22,1700
74,C281,27,50,6,Q2 2023,On Target,74,C281,NSW,8844,17,1900
82,C324,21,29,7,Q2 2023,On Target,82,C324,NSW,7965,22,1700
84,C507,26,48,12,Q1 2023,On Target,84,C507,NSW,6125,22,1900
85,C591,26,37,11,Q1 2023,On Target,85,C591,NSW,9655,15,1700
92,C523,24,46,13,Q2 2023,On Target,92,C523,NSW,8372,26,1900
96,C459,23,40,9,Q2 2023,On Target,96,C459,NSW,9265,16,1700
97,C739,22,30,7,Q2 2023,On Target,97,C739,NSW,6680,16,1700
99,C234,27,53,11,Q1 2023,On Target,99,C234,NSW,8944,16,1900
102,C476,21,59,13,Q2 2023,On Target,102,C476,NSW,24760,38,2700
107,C751,26,58,14,Q1 2023,On Target,107,C751,NSW,17117,26,2700
115,C623,27,40,7,Q1 2023,On Target,115,C623,NSW,6700,21,1700
120,C725,21,50,11,Q2 2023,On Target,120,C725,NSW,9147,26,1900
123,C611,22,48,8,Q2 2023,On Target,123,C611,NSW,8332,15,1900
124,C302,24,40,14,Q1 2023,On Target,124,C302,NSW,6156,15,1700
125,C709,28,29,10,Q2 2023,Below Target,125,C709,NSW,6992,15,1700
138,C198,25,30,5,Q2 2023,On Target,138,C198,NSW,6058,19,1700
142,C761,27,55,14,Q2 2023,On Target,142,C761,NSW,52103,28,2500
143,C177,22,26,11,Q1 2023,Below Target,143,C177,NSW,9543,22,1700
148,C544,24,49,6,Q1 2023,On Target,148,C544,NSW,8948,26,1900
151,C353,21,46,9,Q2 2023,On Target,151,C353,NSW,7484,26,1900
157,C178,20,49,12,Q1 2023,On Target,157,C178,NSW,6583,21,1900
