Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
1,C524,39,56,6,Q2 2023,On Target,1,C524,QLD,18445,36,2500
6,C713,38,84,15,Q2 2023,On Target,6,C713,QLD,58430,27,2500
8,C494,38,44,8,Q1 2023,Below Target,8,C494,QLD,9545,19,1700
13,C631,37,49,13,Q2 2023,Below Target,13,C631,QLD,9755,26,1900
16,C621,37,56,9,Q2 2023,On Target,16,C621,QLD,44664,30,2500
32,C640,42,55,5,Q1 2023,On Target,32,C640,QLD,50859,25,2500
33,C317,43,31,8,Q2 2023,Below Target,33,C317,QLD,9122,26,1700
35,C336,41,47,7,Q2 2023,Below Target,35,C336,QLD,9741,25,1900
36,C309,40,29,5,Q2 2023,Below Target,36,C309,QLD,6948,25,1700
40,C759,38,32,10,Q1 2023,Below Target,40,C759,QLD,7869,16,1700
49,C550,41,50,9,Q2 2023,On Target,49,C550,QLD,7875,15,1900
64,C182,42,56,13,Q1 2023,On Target,64,C182,QLD,51428,35,2500
65,C664,41,41,11,Q2 2023,Below Target,65,C664,QLD,9593,23,1700
77,C169,41,41,12,Q1 2023,Below Target,77,C169,QLD,8547,15,1700
79,C395,40,52,12,Q1 2023,On Target,79,C395,QLD,7036,18,1900
80,C686,38,28,9,Q1 2023,Below Target,80,C686,QLD,6901,24,1700
81,C643,42,41,12,Q2 2023,Below Target,81,C643,QLD,7199,22,1700
87,C634,42,52,3,Q2 2023,On Target,87,C634,QLD,8638,18,1900
94,C515,37,47,11,Q1 2023,Below Target,94,C515,QLD,8007,25,1900
103,C549,41,49,9,Q2 2023,Below Target,103,C549,QLD,8641,20,1900
106,C294,38,30,12,Q1 2023,Below Target,106,C294,QLD,6445,17,1700
112,C778,39,39,10,Q2 2023,Below Target,112,C778,QLD,6204,17,1700
113,C698,43,37,5,Q1 2023,Below Target,113,C698,QLD,9700,23,1700
122,C593,43,50,14,Q2 2023,Below Target,122,C593,QLD,8214,22,1900
126,C187,40,36,8,Q1 2023,Below Target,126,C187,QLD,8878,26,1700
132,C284,43,53,11,Q2 2023,Below Target,132,C284,QLD,9413,24,1900
140,C345,39,29,4,Q2 2023,Below Target,140,C345,QLD,8893,24,1700
141,C489,39,48,9,Q2 2023,On Target,141,C489,QLD,9662,25,1900
165,C481,40,39,5,Q2 2023,Below Target,165,C481,QLD,9059,26,1700
171,C401,38,40,6,Q1 2023,Below Target,171,C401,QLD,6348,23,1700
177,C360,37,31,13,Q2 2023,Below Target,177,C360,QLD,8543,16,1700
179,C540,40,36,12,Q2 2023,Below Target,179,C540,QLD,7373,22,1700
181,C118,38,33,10,Q1 2023,Below Target,181,C118,QLD,7677,23,1700
183,C617,39,47,13,Q2 2023,Below Target,183,C617,QLD,7527,21,1900
184,C335,41,54,11,Q2 2023,On Target,184,C335,QLD,58920,27,2500
187,C636,43,47,16,Q1 2023,Below Target,187,C636,QLD,6708,15,1900
191,C594,40,39,7,Q1 2023,Below Target,191,C594,QLD,6088,19,1700
198,C564,38,50,10,Q2 2023,On Target,198,C564,QLD,7054,19,1900
200,C723,40,52,7,Q2 2023,On Target,200,C723,QLD,7070,24,1900
203,C691,38,36,8,Q2 2023,Below Target,203,C691,QLD,8839,26,1700
204,C257,43,58,8,Q1 2023,On Target,204,C257,QLD,53922,34,2700
212,C768,41,36,7,Q2 2023,Below Target,212,C768,QLD,6470,18,1700
224,C289,37,47,11,Q1 2023,Below Target,224,C289,QLD,9692,20,1900
227,C351,40,58,2,Q2 2023,On Target,227,C351,QLD,30045,27,2700
230,C222,41,54,10,Q1 2023,On Target,230,C222,QLD,41158,25,2500
244,C676,40,53,5,Q2 2023,On Target,244,C676,QLD,6532,26,1900
249,C527,38,26,11,Q2 2023,Below Target,249,C527,QLD,6673,20,1700
255,C451,40,41,11,Q1 2023,Below Target,255,C451,QLD,8961,17,1700
265,C135,39,44,5,Q1 2023,On Target,265,C135,QLD,6972,17,1700
280,C268,41,46,12,Q1 2023,Below Target,280,C268,QLD,7137,25,1900
287,C165,37,42,15,Q1 2023,Below Target,287,C165,QLD,9093,23,1700
293,C530,40,29,14,Q1 2023,Below Target,293,C530,QLD,6075,15,1700
300,C728,42,42,11,Q1 2023,Below Target,300,C728,QLD,7706,15,1700
309,C214,42,57,10,Q2 2023,On Target,309,C214,QLD,23473,30,2500
321,C793,39,40,8,Q2 2023,Below Target,321,C793,QLD,6719,20,1700
328,C421,38,53,9,Q1 2023,On Target,328,C421,QLD,7607,18,1900
329,C101,37,55,5,Q1 2023,On Target,329,C101,QLD,32908,34,2500
334,C704,37,28,13,Q1 2023,Below Target,334,C704,QLD,8133,24,1700
335,C370,39,46,12,Q1 2023,Below Target,335,C370,QLD,9707,25,1900
336,C130,42,59,5,Q2 2023,On Target,336,C130,QLD,44789,31,2700
340,C541,42,50,6,Q2 2023,On Target,340,C541,QLD,9012,24,1900
343,C115,40,54,11,Q2 2023,On Target,343,C115,QLD,18261,32,2500
350,C587,38,51,10,Q1 2023,On Target,350,C587,QLD,6531,22,1900
353,C306,38,28,11,Q1 2023,Below Target,353,C306,QLD,8733,18,1700
354,C408,42,38,10,Q2 2023,Below Target,354,C408,QLD,9346,21,1700
357,C657,39,26,7,Q2 2023,Below Target,357,C657,QLD,6016,16,1700
360,C633,43,57,12,Q2 2023,On Target,360,C633,QLD,41466,33,2500
364,C440,43,49,11,Q2 2023,Below Target,364,C440,QLD,6080,26,1900
377,C243,40,60,14,Q1 2023,On Target,377,C243,QLD,35842,39,2700
379,C225,40,36,12,Q1 2023,Below Target,379,C225,QLD,6793,25,1700
383,C398,37,40,9,Q1 2023,Below Target,383,C398,QLD,8798,26,1700
384,C250,39,55,13,Q2 2023,On Target,384,C250,QLD,22047,34,2500
390,C740,39,44,8,Q2 2023,Below Target,390,C740,QLD,9685,20,1700
395,C683,42,49,14,Q2 2023,Below Target,395,C683,QLD,9122,16,1900
396,C613,43,56,9,Q1 2023,On Target,396,C613,QLD,35760,39,2500
398,C186,42,34,10,Q1 2023,Below Target,398,C186,QLD,8004,19,1700
408,C267,41,40,14,Q1 2023,Below Target,408,C267,QLD,8345,21,1700
432,C209,42,47,11,Q1 2023,Below Target,432,C209,QLD,6822,24,1900
433,C700,40,58,10,Q2 2023,On Target,433,C700,QLD,15462,34,2700
452,C383,40,45,11,Q1 2023,Below Target,452,C383,QLD,6300,22,1900
456,C393,43,34,8,Q2 2023,Below Target,456,C393,QLD,6289,19,1700
457,C156,43,48,8,Q2 2023,Below Target,457,C156,QLD,7498,24,1900
468,C242,42,26,11,Q2 2023,Below Target,468,C242,QLD,8772,16,1700
472,C771,37,31,4,Q2 2023,Below Target,472,C771,QLD,7097,25,1700
477,C199,40,36,12,Q1 2023,Below Target,477,C199,QLD,6488,17,1700
479,C547,39,54,8,Q2 2023,On Target,479,C547,QLD,10346,25,2500
