Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
4,C708,48,50,10,Q1 2023,Below Target,4,C708,SA,9151,23,1900
22,C672,48,44,9,Q2 2023,Below Target,22,C672,SA,9850,26,1700
42,C203,48,55,7,Q1 2023,On Target,42,C203,SA,22370,30,2500
52,C238,48,45,8,Q2 2023,Below Target,52,C238,SA,8999,20,1900
63,C773,48,50,6,Q2 2023,Below Target,63,C773,SA,8173,23,1900
100,C314,47,40,7,Q1 2023,Below Target,100,C314,SA,8372,15,1700
121,C775,48,31,7,Q2 2023,Below Target,121,C775,SA,6713,20,1700
193,C475,48,42,15,Q2 2023,Below Target,193,C475,SA,6532,26,1700
197,C195,47,41,12,Q1 2023,Below Target,197,C195,SA,7584,25,1700
216,C210,47,31,10,Q1 2023,Below Target,216,C210,SA,7467,21,1700
240,C560,48,51,8,Q1 2023,Below Target,240,C560,SA,6606,20,1900
245,C213,47,55,15,Q2 2023,Below Target,245,C213,SA,57538,29,2500
284,C513,48,36,17,Q1 2023,Below Target,284,C513,SA,6629,25,1700
302,C774,48,25,7,Q1 2023,Below Target,302,C774,SA,6503,20,1700
310,C729,48,39,5,Q2 2023,Below Target,310,C729,SA,7553,21,1700
313,C599,47,52,6,Q1 2023,Below Target,313,C599,SA,7052,16,1900
359,C136,48,46,8,Q1 2023,Below Target,359,C136,SA,8941,20,1900
365,C339,48,46,7,Q2 2023,Below Target,365,C339,SA,8930,17,1900
392,C479,47,34,12,Q2 2023,Below Target,392,C479,SA,8279,23,1700
406,C232,47,35,6,Q2 2023,Below Target,406,C232,SA,9977,24,1700
444,C427,48,37,9,Q1 2023,Below Target,444,C427,SA,6366,21,1700
464,C227,48,59,11,Q2 2023,On Target,464,C227,SA,19076,39,2700
476,C235,48,27,8,Q1 2023,Below Target,476,C235,SA,7937,25,1700
481,C717,47,56,12,Q1 2023,Below Target,481,C717,SA,29988,25,2500
505,C445,48,25,11,Q1 2023,Below Target,505,C445,SA,9047,26,1700
509,C361,48,37,4,Q2 2023,Below Target,509,C361,SA,6792,19,1700
511,C712,47,29,9,Q2 2023,Below Target,511,C712,SA,9235,22,1700
524,C378,48,54,10,Q2 2023,Below Target,524,C378,SA,18383,29,2500
583,C526,47,38,16,Q2 2023,Below Target,583,C526,SA,7054,18,1700
624,C605,48,26,9,Q1 2023,Below Target,624,C605,SA,6936,15,1700
637,C746,47,34,8,Q2 2023,Below Target,637,C746,SA,8615,17,1700
