Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
3,C460,36,51,7,Q1 2023,On Target,3,C460,VIC,6146,19,1900
7,C308,31,55,10,Q1 2023,On Target,7,C308,VIC,38603,31,2500
9,C656,30,39,10,Q2 2023,Below Target,9,C656,VIC,9357,17,1700
11,C738,34,29,13,Q1 2023,Below Target,11,C738,VIC,8953,18,1700
25,C699,33,49,12,Q1 2023,On Target,25,C699,VIC,7221,26,1900
28,C344,36,43,5,Q1 2023,On Target,28,C344,VIC,9657,23,1700
37,C163,30,59,9,Q2 2023,On Target,37,C163,VIC,25397,33,2700
38,C461,29,50,20,Q1 2023,On Target,38,C461,VIC,9534,16,1900
39,C628,34,38,6,Q1 2023,Below Target,39,C628,VIC,9912,24,1700
44,C562,29,33,10,Q2 2023,Below Target,44,C562,VIC,9242,25,1700
51,C777,31,79,10,Q1 2023,On Target,51,C777,VIC,58191,36,2700
56,C794,34,35,5,Q1 2023,Below Target,56,C794,VIC,8796,21,1700
61,C349,29,43,12,Q2 2023,On Target,61,C349,VIC,8337,23,1700
62,C674,36,47,10,Q2 2023,On Target,62,C674,VIC,7851,25,1900
69,C597,35,49,14,Q2 2023,On Target,69,C597,VIC,7378,15,1900
72,C293,30,35,10,Q1 2023,Below Target,72,C293,VIC,7261,23,1700
75,C167,31,43,12,Q2 2023,On Target,75,C167,VIC,8425,26,1700
78,C422,33,36,6,Q2 2023,Below Target,78,C422,VIC,8902,21,1700
83,C356,32,40,11,Q1 2023,Below Target,83,C356,VIC,6901,16,1700
88,C456,32,39,12,Q2 2023,Below Target,88,C456,VIC,7789,19,1700
89,C800,29,40,9,Q2 2023,On Target,89,C800,VIC,9872,26,1700
93,C124,30,41,6,Q1 2023,On Target,93,C124,VIC,6867,20,1700
95,C355,30,37,15,Q2 2023,Below Target,95,C355,VIC,8862,20,1700
98,C303,29,49,9,Q1 2023,On Target,98,C303,VIC,7577,25,1900
104,C148,34,57,14,Q2 2023,On Target,104,C148,VIC,46575,28,2700
108,C652,35,37,13,Q2 2023,Below Target,108,C652,VIC,6274,16,1700
109,C104,36,40,13,Q1 2023,Below Target,109,C104,VIC,7408,22,1700
111,C266,35,36,7,Q2 2023,Below Target,111,C266,VIC,7020,19,1700
117,C639,32,36,11,Q2 2023,Below Target,117,C639,VIC,9312,17,1700
119,C648,32,33,9,Q1 2023,Below Target,119,C648,VIC,8566,19,1700
127,C637,29,53,13,Q2 2023,On Target,127,C637,VIC,7704,19,1900
128,C418,34,29,14,Q1 2023,Below Target,128,C418,VIC,9454,15,1700
131,C472,36,42,10,Q1 2023,Below Target,131,C472,VIC,9254,19,1700
134,C757,37,32,11,Q2 2023,Below Target,134,C757,VIC,9380,21,1700
135,C666,32,35,15,Q2 2023,Below Target,135,C666,VIC,8736,23,1700
136,C276,35,48,9,Q2 2023,On Target,136,C276,VIC,7259,16,1900
137,C642,30,53,12,Q1 2023,On Target,137,C642,VIC,7798,20,1900
139,C462,30,31,4,Q2 2023,Below Target,139,C462,VIC,6399,16,1700
144,C410,31,43,8,Q1 2023,On Target,144,C410,VIC,9220,17,1700
152,C157,33,51,9,Q2 2023,On Target,152,C157,VIC,6284,23,1900
153,C299,29,54,9,Q2 2023,On Target,153,C299,VIC,42361,34,2500
154,C254,31,47,9,Q2 2023,On Target,154,C254,VIC,6354,16,1900
155,C783,31,45,9,Q2 2023,On Target,155,C783,VIC,9060,17,1900
158,C764,33,54,8,Q2 2023,On Target,158,C764,VIC,28766,38,2500
159,C645,30,57,15,Q1 2023,On Target,159,C645,VIC,52424,25,2700
163,C237,30,50,15,Q1 2023,On Target,163,C237,VIC,8816,23,1900
169,C127,33,45,13,Q1 2023,Below Target,169,C127,VIC,9473,16,1900
173,C792,34,35,10,Q2 2023,Below Target,173,C792,VIC,9148,20,1700
175,C692,29,37,9,Q1 2023,Below Target,175,C692,VIC,8237,24,1700
182,C596,33,53,13,Q1 2023,On Target,182,C596,VIC,7106,18,1900
199,C510,32,33,5,Q1 2023,Below Target,199,C510,VIC,9193,16,1700
201,C506,37,49,11,Q1 2023,On Target,201,C506,VIC,6340,22,1900
205,C501,31,50,9,Q1 2023,On Target,205,C501,VIC,6485,19,1900
206,C116,36,50,12,Q2 2023,On Target,206,C116,VIC,7597,16,1900
207,C184,36,46,8,Q2 2023,On Target,207,C184,VIC,9366,16,1900
208,C581,35,52,15,Q1 2023,On Target,208,C581,VIC,9537,24,1900
211,C279,31,51,7,Q1 2023,On Target,211,C279,VIC,8184,21,1900
218,C684,37,46,6,Q2 2023,On Target,218,C684,VIC,7077,24,1900
223,C789,36,41,11,Q1 2023,Below Target,223,C789,VIC,7592,18,1700
236,C141,31,57,11,Q1 2023,On Target,236,C141,VIC,47067,34,2500
238,C246,32,58,9,Q1 2023,On Target,238,C246,VIC,18146,39,2700
239,C444,31,38,12,Q2 2023,Below Target,239,C444,VIC,6164,15,1700
242,C212,34,45,10,Q1 2023,On Target,242,C212,VIC,6360,23,1900
243,C319,29,27,8,Q2 2023,Below Target,243,C319,VIC,7981,16,1700
247,C598,34,38,6,Q2 2023,Below Target,247,C598,VIC,7443,23,1700
248,C376,33,40,9,Q1 2023,Below Target,248,C376,VIC,9127,24,1700
250,C727,30,29,11,Q2 2023,Below Target,250,C727,VIC,6505,26,1700
257,C563,35,31,8,Q1 2023,Below Target,257,C563,VIC,6335,25,1700
258,C490,30,52,13,Q2 2023,On Target,258,C490,VIC,8220,15,1900
263,C449,30,55,10,Q2 2023,On Target,263,C449,VIC,48287,37,2500
270,C304,33,53,14,Q1 2023,On Target,270,C304,VIC,7725,17,1900
275,C228,35,27,7,Q2 2023,Below Target,275,C228,VIC,9782,20,1700
276,C509,34,54,11,Q2 2023,On Target,276,C509,VIC,24928,37,2500
282,C788,31,56,10,Q1 2023,On Target,282,C788,VIC,48772,39,2500
283,C534,30,37,5,Q2 2023,On Target,283,C534,VIC,8559,26,1700
289,C559,29,32,8,Q1 2023,Below Target,289,C559,VIC,7756,15,1700
297,C496,30,35,11,Q2 2023,Below Target,297,C496,VIC,9275,25,1700
307,C750,33,34,11,Q1 2023,Below Target,307,C750,VIC,6161,25,1700
311,C626,30,40,6,Q2 2023,On Target,311,C626,VIC,9029,22,1700
315,C372,37,42,13,Q1 2023,Below Target,315,C372,VIC,7151,19,1700
316,C109,34,58,8,Q1 2023,On Target,316,C109,VIC,47242,38,2700
317,C498,29,41,12,Q2 2023,On Target,317,C498,VIC,6929,20,1700
320,C283,29,36,5,Q1 2023,On Target,320,C283,VIC,6080,26,1700
324,C568,31,34,8,Q1 2023,Below Target,324,C568,VIC,8700,21,1700
333,C259,30,46,15,Q2 2023,On Target,333,C259,VIC,6223,18,1900
344,C133,34,37,11,Q2 2023,Below Target,344,C133,VIC,8143,21,1700
345,C179,34,35,10,Q2 2023,Below Target,345,C179,VIC,8436,20,1700
346,C367,36,54,15,Q1 2023,On Target,346,C367,VIC,43162,38,2500
351,C327,34,34,14,Q1 2023,Below Target,351,C327,VIC,7692,24,1700
361,C168,34,28,7,Q2 2023,Below Target,361,C168,VIC,8667,26,1700
366,C364,35,32,7,Q1 2023,Below Target,366,C364,VIC,9405,26,1700
367,C375,32,34,8,Q1 2023,Below Target,367,C375,VIC,9959,25,1700
369,C189,35,41,16,Q2 2023,Below Target,369,C189,VIC,8523,19,1700
370,C170,31,28,4,Q2 2023,Below Target,370,C170,VIC,6254,17,1700
372,C412,32,34,8,Q1 2023,Below Target,372,C412,VIC,8110,21,1700
373,C799,34,58,10,Q1 2023,On Target,373,C799,VIC,11967,34,2700
375,C159,37,53,13,Q1 2023,On Target,375,C159,VIC,7441,21,1900
378,C635,36,60,8,Q2 2023,On Target,378,C635,VIC,27982,31,2700
388,C191,30,30,7,Q2 2023,Below Target,388,C191,VIC,7882,26,1700
389,C668,34,29,4,Q2 2023,Below Target,389,C668,VIC,6433,16,1700
407,C112,36,26,12,Q1 2023,Below Target,407,C112,VIC,7218,24,1700
410,C414,33,28,9,Q1 2023,Below Target,410,C414,VIC,8751,20,1700
424,C455,36,52,12,Q2 2023,On Target,424,C455,VIC,6332,17,1900
425,C340,30,59,12,Q1 2023,On Target,425,C340,VIC,22154,39,2700
431,C172,29,51,12,Q1 2023,On Target,431,C172,VIC,7416,20,1900
434,C329,36,42,11,Q2 2023,Below Target,434,C329,VIC,8013,21,1700
435,C520,31,41,11,Q2 2023,Below Target,435,C520,VIC,9427,16,1700
436,C644,32,60,11,Q1 2023,On Target,436,C644,VIC,35080,31,2700
